a,a
ability,uhbiluhtee
able,aabl
about,uhbawwt
above,uhbuv
accept,exsept
according,uhcwrdeeng
account,uhcawwnt
across,uhcrahs
act,act
action,acshun
activity,activuhtee
actually,acshuu-uhlee
add,aduh
address,uhdres
administration,administraashn
admit,uhdmit
adult,uhdult
affect,uhfect
after,aftr
again,uhgen
against,uhgenst
age,aajh
agency,aajensee
agent,aajent
ago,uhgoo
agree,uhgree
agreement,uhgreement
ahead,uhed
air,aar
all,ol
allow,uhlaww
almost,ulmoost
alone,uhloon
along,uhlong
already,ulredee
also,ulsoo
although,ulthoo
always,ulwwaas
American,uhmaarican
among,uhmong
amount,uhmawwnt
analysis,uhnalusis
and,and
animal,anuhml
another,uhnuthr
answer,ansur
any,enee
anyone,eneewwun
anything,eneetheeng
appear,uhpeer
apply,uhplii
approach,uhprook
area,aareeuh
argue,rrguu
arm,rrm
around,uhrawwnd
arrive,uhriiv
art,rrt
article,rrticl
artist,rrtist
as,as
ask,asc
assume,uhsuum
at,at
attack,uhtac
attention,uhtenshn
attorney,uhturnee
audience,odeeuns
author,othur
authority,uthwritee
available,uhvaaluhbl
avoid,uhvoyd
away,uhwwaay
baby,baabee
back,bac
bad,bad
bag,bag
ball,bol
bank,baanc
bar,brr
base,baas
be,bee
beat,beet
beautiful,buutifl
because,beecuz
become,beecum
bed,bed
before,beefwr
begin,beegin
behavior,beehaavyr
behind,beehiind
believe,beeleev
benefit,benuhfit
best,best
better,betr
between,beetwween
beyond,beeyond
big,big
bill,bil
billion,bileeun
bit,bit
black,blac
blood,blud
blue,bluu
board,bwrd
body,bodee
book,bwk
born,bwrn
both,booth
box,box
boy,bwy
break,braac
bring,breeng
brother,bruthr
budget,buhjit
build,bild
building,bildeeng
business,bisnes
but,but
buy,biiy
by,bii
call,col
camera,cam
campaign,campaan
can,can
cancer,cansr
candidate,candudaat
capital,capitl
car,crr
card,crrd
care,caar
career,cureer
carry,caaree
case,caas
catch,cak
cause,cuz
cell,sel
center,sentr
central,sentrl
century,senkree
certain,surtin
certainly,surtinlee
chair,kehr
challenge,kalinj
chance,kans
change,kaanj
character,cehructr
charge,krrj
check,kec
child,kiild
choice,kwys
choose,kuus
church,krk
citizen,sitihzn
city,sitee
civil,sivl
claim,claam
class,clas
clear,cleer
clearly,cleerly
close,cloos
coach,cook
cold,cwld
collection,culecshn
college,colij
color,culr
come,cum
commercial,cumurshl
common,comin
community,cumuunitee
company,cumpunee
compare,cumpaar
computer,cumpuutr
concern,cunsrn
condition,cundishn
conference,confrens
congress,congres
consider,cunsidr
consumer,cunsuumr
contain,cuntaan
continue,cuntinuu
control,cuntrwl
cost,cost
could,cud
country,cuntree
couple,cupl
course,cwrs
court,cwrt
cover,cuvr
create,creeaat
crime,criim
cultural,culkrl
culture,culkr
cup,cup
current,curint
customer,custumr
cut,cut
dark,drrk
data,data
daughter,dotr
day,daay
dead,ded
deal,deel
death,deth
debate,debaat
decade,decaad
decide,disiid
decision,disishn
deep,deep
defense,deefens
degree,duhgree
democrat,demoocrat
democratic,demoocratic
describe,discriib
design,desiin
despite,despiit
detail,deetaal
determine,deeturmin
develop,divelup
development,divelupment
die,dii
difference,difrens
different,difrent
difficult,dificwlt
dinner,dinr
direction,diirec
director,diirectwr
discover,discuvr
discuss,discus
discussion,discushn
disease,dizeez
do,duu
doctor,doctwr
dog,dog
door,dwr
down,dawwn
draw,dro
dream,dreem
drive,driiv
drop,drop
drug,drug
during,dureeng
each,eek
early,urlee
east,eest
easy,eesee
eat,eet
economic,economic
economy,econumee
edge,ej
education,ejucaashn
effect,eefect
effort,efrt
eight,aat
either,eethr
election,ulecshn
else,els
employee,emplwyee
end,end
energy,enrjee
enjoy,enjwy
enough,eenuf
enter,entr
entire,entiir
environment,enviirment
environmental,enviirnmental
especially,espeshulee
establish,establish
even,eeven
evening,eeveneeng
event,uvent
ever,evr
every,evree
everybody,evreebodee
everyone,evreewwon
everything,evreetheeng
evidence,evidens
exactly,exactlee
example,exampl
executive,execuutiv
exist,exist
expect,expect
experience,expeeree-ens
expert,exprt
explain,explaan
eye,iiy
face,faas
fact,fact
factor,factwr
fail,faal
fall,fol
family,familee
far,for
fast,fast
father,fothr
fear,feer
federal,fedural
feel,feel
feeling,feeleeng
few,fuu
field,feeld
fight,fiit
figure,figyr
fill,fil
film,film
final,fiinl
finally,fiinlee
financial,fiinanshl
find,fiind
fine,fiin
finger,feengr
finish,finish
fire,fiir
firm,furm
first,furst
fish,fish
five,fiv
floor,flwr
fly,flii
focus,foocus
follow,foloow
food,fuud
foot,fut
for,fwr
force,fwrs
foreign,fwren
forget,fwrget
form,fwrm
former,fwrmer
forward,fwrwwrd
four,fwur
free,free
friend,frend
from,frum
front,frunt
full,fwl
fund,fund
future,fuukr
game,gaam
garden,grrdn
gas,gas
general,jenruhl
generation,jenuraashun
get,get
girl,gurl
give,giv
glass,glas
go,goo
goal,gol
good,gud
government,guvrment
great,graat
green,green
ground,grawnd
group,gruup
grow,grooww
growth,groowwth
guess,ges
gun,gun
guy,gii
hair,haair
half,haf
hand,hand
hang,haang
happen,hapen
happy,hapee
hard,hord
have,hav
he,hee
head,hed
health,helth
hear,heerr
heart,hrrt
heat,heet
heavy,hevee
help,help
her,hr
here,heer
herself,hrself
high,hiih
him,him
himself,himself
his,his
history,histwree
hit,hit
hold,hwld
home,hoom
hope,hoop
hospital,hospitl
hot,hot
hotel,hootel
hour,awwr
house,hawws
how,haww
however,hawwevr
huge,huuj
human,huuman
hundred,hundred
husband,huzbnd
I,ii
idea,iideeu
identify,iidentifii
if,if
image,imij
imagine,imajin
impact,impact
important,impwrtnt
improve,impruuv
in,in
include,incluud
including,incluudeeng
increase,increes
indeed,indeed
indicate,indicaat
individual,individuual
industry,industree
information,infwrmaashn
inside,insiid
instead,insted
institution,instituushn
interest,intrest
interesting,intresteeng
international,inturnashunl
interview,inturvuu
into,intuu
investment,investment
involve,involv
issue,ishuu
it,it
item,iitem
its,its
itself,itself
job,job
join,jwyn
just,just
keep,ceep
key,ceey
kid,cid
kill,cil
kind,ciind
kitchen,citchn
know,nooww
knowledge,noledj
land,land
language,laangwwij
large,lrrj
last,last
late,laat
later,laatyuh
laugh,laf
law,lo
lawyer,lwyr
lay,laa
lead,leed
leader,leeder
learn,lern
least,leest
leave,leev
left,left
leg,leg
legal,leegl
less,les
let,let
letter,leter
level,levl
lie,lii
life,liif
light,liit
like,liic
likely,liicly
line,liin
list,list
listen,lisn
little,litl
live,liiv
local,loocl
long,long
look,luk
lose,luus
loss,lost
lot,lot
love,luv
low,loow
machine,musheen
magazine,maguzeen
main,maan
maintain,maantaan
major,maajr
majority,mujwrity
make,maac
man,man
manage,manij
management,manijment
manager,manujr
many,menee
market,mrrcit
marriage,merij
material,muteereel
matter,mater
may,maay
maybe,maaybee
me,mee
mean,meen
measure,meshr
media,meedeeu
medical,medicl
meet,meet
meeting,meeteeng
member,membr
memory,memree
mention,menshin
message,mesij
method,methid
middle,midl
might,miit
military,militeree
million,mileeun
mind,miind
minute,minit
miss,mis
mission,mishun
model,modl
modern,modrn
moment,mooment
money,munee
month,munth
more,mwr
morning,mwrneeng
most,moost
mother,muthr
mouth,mawwth
move,mwv
movement,mwvment
movie,mwvee
mr,mistr
mrs,misis
much,muk
music,muusic
must,must
my,mii
myself,miiself
name,naam
nation,naashin
national,nashinul
natural,nakurl
nature,naakr
near,neer
nearly,neerlee
necessary,neseseree
need,need
network,netwwrk
